winner_refer_hash,white_list_score,class
30070609AE8013719955985C8EAA8507881BD1227528D43F908CA7E199ADE8C0,86,TIER1
E0299A38DC1570B018478583A25E58C52AA1852B9A8D53302F59529B3DF3EAFD,95,TIER1
1B679B90328E413AF7291AF41D049E9A0E62872CB3056F0C259DC5DE468BA530,104,TIER1
97958F59A61DF9810A3B33FE85FAEFFF32B76EB28EF4769A3DBD7AE51D3D2045,98,TIER1
3C33D9B0F5819228A13B73B0B768EDED385A96B0E46CD1EAE35BCFC4F887C86C,66,TIER1
07EA7B3393806A4A5918C77C86976A60365CC0215E6B2EE4647651D5BA4B9206,60,TIER1
BEA050D2EC990D77B63B8CC01E30F9FFDBBDDF991D6CDDE7764E52FD5B6354CB,102,TIER1
2B19EEBB80DC796C8EA49CEAB48CC786F59F1B012AA921D6DBD1C5A0061527B7,111,TIER1
9351F4A5081AC1EC545780523B1950EABCBBFA6A3847B299C253DCCEBB267EC9,115,TIER1
C5184BA401B90893EF4A0D264B6FFE1276FCD00BAABB61C94EFF9671E5D9B225,102,TIER1
B7043C39F1C4BC891D8A687460291EA05BD4CBEBA1DB1A057EDC950E96720132,114,TIER1
BE1973CD599794880BA686028E85DDE93ECD55F6DE51605FBF217DB2E955AF1C,82,TIER1
119F533983AD83267C2C1058FE4921F019F999D9B6CF15F54F42F772D2CB81F3,111,TIER1
C93CFC4BEEF586A7E5B8E8A2892D2FB0E68690A9F877571ABCCBC310B7BDD425,98,TIER1
74DB5390FA8F8987B778EAE5F158C5D14313EA3BF246F4680048B1635DEFB82A,102,TIER1
431E08BAAB648C11BD8C1ADD365F2ED286A0438ABF3F12BD9131C86C68B28360,59,TIER1
B6341643401B317A21E42A2C213064F3A252697B4DF16BB2907F0AAACF4F3B50,88,TIER1
6C2FB49E9B78FAF1BE45E8B0874203EFCA07BB1FED36B28EDC0899C09E7E8633,86,TIER1
C0926D6D119114901F01F1D2002E5BEC868004F6A656E351F5D75FBD00038407,100,TIER1
812FBE6CF7783F312F9533DAF26B79EF23A9BD21405CB6B8BEE31E2525E1CD6E,65,TIER1
9EB5EC2BF2C92667C2DC9A0310E3DD4BF79B7D59C080B10F31421B06E56566C0,98,TIER1
81C03B25EC04063EBCC292B3C794E18706CF301350E8D93F7989B3EE2E2A252E,86,TIER1
46B36A80D31FC6AF52FD62110B0BEE6C5C7B7413EAD1D8A4535B2FD1D714A7F1,96,TIER1
1F449F2C17C7FBCF89F38C84ABA0018FDADD5932ACAD122EB9D55D81A2EB2007,98,TIER1
EF15D79D6D9F6FF3561EC7A431D7712E24F4346F5622A8FB6A9CB6EADA59CC7F,84,TIER1
A28FCE166B01EC02807B37D789AF31835822E0F4118C73E55D87F61B630E3B11,86,TIER1
8CD09F03A258B1BE9B798F890D42F51F6ABFE7BB8337F2C20BC62F3563BB14EE,100,TIER1
96628E5C2E25B8DDCA36894714C3FBECB49F8EA15154602A4427960B223B3D1A,86,TIER1
B624A50953514AEC8A870E59C32E8709E52D2CCD428C223E331BBAF67047ECEA,86,TIER1
FF76290686D5E922A5CED5FB06312B0B27EB0B4BF2A468AFB22C062098D966EE,88,TIER1
76D93B04C1CD51D0FFD82BA8B8A5463DAB73D1D9DD835D31D388B2124C7AEC53,111,TIER1
D5551C7B19AD37606A8B250D4C960166D9619A89DB95DF3D3980477EB2985649,117,TIER1
5B4E6A2AB303C2B7DA00CFD8B67FDF1B22AC95943CC8DFAB192A5458F0AA5066,92,TIER1
7E33BBD05D3A73353767410955A6F97D19592DCA9BB2CDE7DCC12573F7039B8B,121,TIER1
6989CD5A3F4DBBEDA1A59545A840F9DC0BB8BCE3CAC5C3CC476007717F74D65F,111,TIER1
